minT: 1  maxT: 10
145 0.93 0.867 0.478
146 0.927 0.844 0.455
147 0.888 0.8 0.446
148 0.882 0.795 0.396
149 0.862 0.771 0.399
150 0.838 0.728 0.356
151 0.788 0.676 0.357
152 0.785 0.665 0.327
153 0.748 0.644 0.298
154 0.732 0.597 0.258
155 0.678 0.573 0.264
156 0.663 0.546 0.259
157 0.64 0.504 0.222
158 0.604 0.461 0.224
159 0.604 0.478 0.232
160 0.504 0.39 0.153
161 0.486 0.365 0.19
162 0.473 0.358 0.171
163 0.487 0.345 0.165
164 0.423 0.328 0.16
165 0.365 0.257 0.123
166 0.403 0.311 0.147
167 0.38 0.268 0.144
168 0.32 0.233 0.114
169 0.327 0.223 0.1
170 0.32 0.218 0.109
171 0.287 0.188 0.082
172 0.298 0.198 0.115
173 0.279 0.19 0.102
174 0.248 0.169 0.086
175 0.211 0.14 0.067
176 0.195 0.133 0.07
177 0.199 0.136 0.066
178 0.194 0.128 0.068
179 0.203 0.13 0.069
180 0.192 0.114 0.054
181 0.175 0.107 0.063
182 0.146 0.103 0.056
183 0.146 0.085 0.05
184 0.139 0.09 0.046
185 0.14 0.09 0.054
186 0.123 0.085 0.048
187 0.106 0.069 0.047
188 0.124 0.083 0.048
189 0.106 0.061 0.04
190 0.106 0.058 0.036
191 0.106 0.058 0.041
192 0.092 0.054 0.037
193 0.08 0.038 0.028
194 0.09 0.051 0.031
195 0.079 0.041 0.03
196 0.062 0.035 0.027
197 0.055 0.036 0.025
198 0.06 0.031 0.02
199 0.069 0.04 0.033
1100 0.073 0.04 0.027
1101 0.068 0.038 0.025
1102 0.057 0.032 0.023
1103 0.067 0.032 0.02
1104 0.047 0.027 0.019
1105 0.047 0.027 0.022
1106 0.053 0.033 0.028
1107 0.036 0.021 0.017
1108 0.041 0.023 0.015
1109 0.042 0.029 0.021
1110 0.043 0.024 0.02
1111 0.031 0.016 0.013
1112 0.047 0.022 0.02
1113 0.032 0.015 0.011
1114 0.035 0.021 0.016
1115 0.033 0.019 0.012
1116 0.039 0.022 0.019
1117 0.031 0.017 0.01
1118 0.031 0.012 0.008
1119 0.028 0.014 0.01
1120 0.036 0.02 0.019
1121 0.032 0.016 0.014
1122 0.028 0.016 0.013
1123 0.026 0.015 0.013
1124 0.017 0.009 0.006
1125 0.027 0.013 0.009
1126 0.024 0.011 0.01
1127 0.018 0.007 0.008
1128 0.023 0.01 0.011
1129 0.024 0.018 0.013
1130 0.021 0.007 0.008
1131 0.016 0.005 0.004
1132 0.016 0.011 0.009
1133 0.016 0.008 0.008
1134 0.02 0.01 0.007
1135 0.018 0.011 0.01
1136 0.018 0.011 0.011
1137 0.022 0.011 0.009
1138 0.016 0.008 0.006
1139 0.012 0.007 0.006
1140 0.014 0.01 0.01
1141 0.015 0.006 0.006
1142 0.01 0.006 0.006
1143 0.015 0.007 0.008
1144 0.016 0.004 0.002
1145 0.01 0.008 0.009
1146 0.011 0.006 0.006
1147 0.012 0.008 0.008
1148 0.014 0.009 0.008
1149 0.009 0.004 0.005
1150 0.009 0.005 0.005
1151 0.005 0.003 0.002
1152 0.008 0.005 0.005
1153 0.007 0.005 0.005
1154 0.008 0.004 0.004
1155 0.003 0.001 0.001
1156 0.013 0.007 0.007
1157 0.011 0.008 0.008
1158 0.004 0.001 0.002
1159 0.011 0.003 0.006
1160 0.009 0.003 0.002
1161 0.012 0.006 0.005
1162 0.008 0.004 0.005
1163 0.012 0.005 0.005
1164 0.012 0.005 0.004
1165 0.011 0.007 0.006
1166 0.004 0.001 0.001
1167 0.012 0.005 0.006
1168 0.008 0.004 0.005
1169 0.007 0.003 0.003
1170 0.009 0.005 0.006
1171 0.004 0.003 0.003
1172 0.001 0.001 0.001
1173 0.008 0.004 0.004
1174 0.007 0.003 0.005
1175 0.007 0.002 0.003
1176 0.006 0.003 0.003
1177 0.009 0.006 0.007
1178 0.003 0.001 0.001
1179 0.004 0.001 0.002
1180 0.007 0.003 0.004
1181 0.002 0.001 0.001
1182 0.008 0.002 0.002
1183 0.006 0.004 0.005
1184 0.005 0.003 0.003
1185 0.008 0.004 0.005
1186 0.004 0.002 0.003
1187 0.002 0.0 0.0
1188 0.007 0.003 0.003
1189 0.007 0.003 0.004
1190 0.007 0.003 0.004
1191 0.005 0.001 0.001
1192 0.005 0.001 0.002
1193 0.002 0.001 0.001
1194 0.006 0.004 0.004
1195 0.003 0.001 0.003
1196 0.002 0.0 0.0
1197 0.005 0.002 0.002
1198 0.004 0.002 0.002
1199 0.007 0.002 0.002
1200 0.005 0.004 0.004
1201 0.004 0.002 0.003
1202 0.003 0.002 0.002
1203 0.003 0.001 0.001
1204 0.004 0.0 0.001
1205 0.006 0.002 0.003
1206 0.006 0.003 0.004
1207 0.005 0.004 0.003
1208 0.004 0.002 0.002
1209 0.002 0.001 0.001
1210 0.006 0.003 0.003
1211 0.006 0.002 0.003
1212 0.003 0.002 0.003
1213 0.003 0.0 0.002
1214 0.002 0.001 0.001
1215 0.004 0.002 0.002
1216 0.005 0.005 0.005
1217 0.008 0.003 0.004
1218 0.006 0.002 0.003
1219 0.001 0.001 0.001
1220 0.0 0.0 0.0
1221 0.007 0.004 0.005
1222 0.004 0.003 0.003
1223 0.005 0.003 0.004
1224 0.004 0.001 0.003
1225 0.003 0.001 0.001
1226 0.002 0.001 0.001
1227 0.006 0.001 0.003
1228 0.005 0.002 0.003
1229 0.001 0.0 0.0
1230 0.005 0.003 0.004
1231 0.005 0.003 0.005
1232 0.004 0.001 0.002
1233 0.005 0.0 0.001
1234 0.003 0.002 0.003
1235 0.004 0.001 0.002
1236 0.006 0.003 0.005
1237 0.004 0.002 0.002
1238 0.005 0.002 0.004
1239 0.005 0.002 0.002
1240 0.005 0.003 0.005
1241 0.001 0.001 0.001
1242 0.004 0.002 0.002
1243 0.002 0.001 0.001
1244 0.004 0.001 0.003
1245 0.006 0.001 0.001
1246 0.002 0.001 0.001
1247 0.008 0.003 0.004
1248 0.0 0.0 0.0
1249 0.005 0.003 0.004
1250 0.007 0.004 0.004
1251 0.002 0.001 0.001
1252 0.002 0.002 0.002
1253 0.003 0.0 0.001
1254 0.003 0.0 0.003
1255 0.005 0.002 0.003
1256 0.007 0.001 0.002
1257 0.002 0.001 0.001
1258 0.003 0.002 0.002
1259 0.002 0.002 0.002
1260 0.002 0.001 0.001
1261 0.007 0.002 0.003
1262 0.002 0.0 0.001
1263 0.001 0.0 0.001
1264 0.003 0.0 0.0
1265 0.003 0.003 0.003
1266 0.002 0.001 0.001
1267 0.004 0.001 0.002
1268 0.003 0.0 0.001
1269 0.005 0.002 0.003
1270 0.006 0.001 0.004
1271 0.004 0.0 0.001
1272 0.0 0.0 0.0
1273 0.003 0.002 0.002
1274 0.003 0.0 0.001
1275 0.003 0.0 0.002
1276 0.002 0.002 0.002
1277 0.004 0.001 0.002
1278 0.004 0.003 0.003
1279 0.001 0.0 0.0
1280 0.004 0.002 0.003
1281 0.003 0.0 0.001
1282 0.002 0.001 0.001
1283 0.001 0.0 0.0
1284 0.005 0.003 0.003
1285 0.003 0.001 0.002
1286 0.003 0.001 0.002
1287 0.001 0.0 0.001
1288 0.001 0.001 0.001
1289 0.0 0.0 0.0
1290 0.006 0.002 0.004
1291 0.004 0.0 0.001
1292 0.002 0.0 0.001
1293 0.002 0.001 0.001
1294 0.001 0.0 0.0
1295 0.003 0.001 0.001
1296 0.001 0.001 0.001
1297 0.003 0.0 0.001
1298 0.005 0.001 0.003
1299 0.003 0.002 0.003
1300 0.002 0.001 0.001
Resource Access 
Parallel 
RSF 




minT: 40  maxT: 50
Work Load
CS Length 
11 1.0 1.0 1.0
12 1.0 1.0 1.0
13 1.0 1.0 1.0
14 1.0 1.0 1.0
15 1.0 1.0 1.0
16 1.0 1.0 1.0
17 1.0 1.0 1.0
18 1.0 1.0 1.0
19 1.0 1.0 1.0
110 1.0 1.0 1.0
111 1.0 1.0 1.0
112 1.0 1.0 1.0
113 1.0 1.0 1.0
114 1.0 1.0 1.0
115 1.0 1.0 1.0
116 1.0 1.0 1.0
117 1.0 1.0 1.0
118 1.0 1.0 1.0
119 1.0 1.0 1.0
120 1.0 1.0 1.0
121 1.0 1.0 1.0
122 1.0 1.0 1.0
123 1.0 1.0 1.0
124 1.0 1.0 1.0
125 1.0 1.0 1.0
126 1.0 1.0 1.0
127 1.0 1.0 1.0
128 1.0 1.0 1.0
129 1.0 1.0 0.998
130 1.0 1.0 0.998
131 1.0 1.0 1.0
132 1.0 1.0 0.998
133 1.0 1.0 0.998
134 1.0 1.0 0.995
135 1.0 1.0 0.99
136 1.0 1.0 0.994
137 1.0 1.0 0.983
138 1.0 1.0 0.979
139 1.0 1.0 0.979
140 1.0 1.0 0.979
141 1.0 1.0 0.966
142 1.0 0.999 0.944
143 1.0 0.996 0.953
144 1.0 1.0 0.928
145 1.0 1.0 0.921
146 1.0 0.999 0.9
147 0.999 0.998 0.894
148 1.0 0.998 0.856
149 0.998 0.993 0.847
150 0.997 0.993 0.846
151 0.994 0.985 0.796
152 0.997 0.976 0.771
153 0.991 0.969 0.773
154 0.985 0.962 0.719
155 0.978 0.955 0.718
156 0.979 0.94 0.698
157 0.969 0.938 0.674
158 0.962 0.905 0.657
159 0.955 0.882 0.602
160 0.934 0.887 0.611
161 0.918 0.863 0.591
162 0.915 0.844 0.562
163 0.903 0.824 0.541
164 0.869 0.8 0.491
165 0.844 0.757 0.507
166 0.828 0.738 0.468
167 0.801 0.697 0.448
168 0.795 0.668 0.425
169 0.781 0.665 0.414
170 0.748 0.619 0.365
171 0.712 0.583 0.328
172 0.697 0.564 0.327
173 0.685 0.564 0.313
174 0.667 0.544 0.348
175 0.618 0.476 0.288
176 0.584 0.453 0.272
177 0.569 0.451 0.26
178 0.566 0.472 0.267
179 0.538 0.411 0.227
180 0.519 0.396 0.228
181 0.505 0.39 0.217
182 0.511 0.389 0.224
183 0.436 0.324 0.192
184 0.424 0.311 0.196
185 0.412 0.299 0.164
186 0.405 0.308 0.179
187 0.381 0.273 0.173
188 0.354 0.264 0.166
189 0.33 0.236 0.137
190 0.329 0.24 0.14
191 0.316 0.225 0.145
192 0.322 0.217 0.133
193 0.311 0.212 0.129
194 0.268 0.179 0.117
195 0.282 0.198 0.114
196 0.25 0.171 0.104
197 0.239 0.151 0.102
198 0.224 0.139 0.096
199 0.21 0.133 0.089
1100 0.208 0.14 0.088
1101 0.199 0.13 0.079
1102 0.209 0.154 0.104
1103 0.192 0.123 0.078
1104 0.162 0.115 0.081
1105 0.182 0.129 0.086
1106 0.146 0.089 0.065
1107 0.149 0.102 0.068
1108 0.152 0.096 0.067
1109 0.155 0.093 0.059
1110 0.125 0.082 0.057
1111 0.128 0.085 0.06
1112 0.119 0.083 0.063
1113 0.114 0.076 0.059
1114 0.125 0.085 0.063
1115 0.1 0.065 0.048
1116 0.105 0.064 0.048
1117 0.103 0.069 0.044
1118 0.108 0.068 0.054
1119 0.083 0.049 0.035
1120 0.09 0.058 0.041
1121 0.088 0.057 0.043
1122 0.08 0.056 0.045
1123 0.074 0.045 0.03
1124 0.081 0.06 0.049
1125 0.074 0.041 0.03
1126 0.063 0.038 0.033
1127 0.075 0.036 0.028
1128 0.064 0.039 0.029
1129 0.075 0.05 0.036
1130 0.055 0.036 0.031
1131 0.052 0.027 0.027
1132 0.062 0.034 0.027
1133 0.051 0.04 0.031
1134 0.047 0.029 0.022
1135 0.055 0.032 0.027
1136 0.063 0.033 0.028
1137 0.043 0.025 0.021
1138 0.039 0.025 0.021
1139 0.052 0.036 0.03
1140 0.044 0.024 0.02
1141 0.031 0.018 0.013
1142 0.038 0.025 0.02
1143 0.041 0.027 0.025
1144 0.042 0.024 0.021
1145 0.039 0.026 0.02
1146 0.031 0.013 0.012
1147 0.039 0.02 0.02
1148 0.039 0.024 0.018
1149 0.034 0.021 0.019
1150 0.034 0.018 0.014
1151 0.034 0.021 0.019
1152 0.034 0.017 0.015
1153 0.029 0.015 0.015
1154 0.032 0.019 0.016
1155 0.031 0.017 0.019
1156 0.026 0.013 0.014
1157 0.031 0.013 0.01
1158 0.023 0.009 0.008
1159 0.02 0.012 0.01
1160 0.024 0.013 0.013
1161 0.025 0.013 0.013
1162 0.021 0.01 0.01
1163 0.025 0.016 0.018
1164 0.025 0.013 0.012
1165 0.029 0.012 0.014
1166 0.014 0.008 0.008
1167 0.013 0.005 0.005
1168 0.027 0.013 0.013
1169 0.018 0.013 0.013
1170 0.016 0.008 0.008
1171 0.013 0.008 0.009
1172 0.019 0.011 0.013
1173 0.019 0.01 0.01
1174 0.015 0.009 0.008
1175 0.015 0.009 0.01
1176 0.015 0.008 0.008
1177 0.023 0.011 0.011
1178 0.014 0.007 0.008
1179 0.016 0.009 0.011
1180 0.016 0.002 0.005
1181 0.02 0.009 0.009
1182 0.012 0.01 0.009
1183 0.012 0.006 0.006
1184 0.01 0.007 0.008
1185 0.018 0.011 0.01
1186 0.014 0.006 0.006
1187 0.013 0.006 0.007
1188 0.019 0.013 0.013
1189 0.014 0.008 0.007
1190 0.005 0.003 0.003
1191 0.016 0.006 0.009
1192 0.007 0.005 0.005
1193 0.014 0.004 0.005
1194 0.006 0.004 0.004
1195 0.01 0.005 0.006
1196 0.009 0.006 0.006
1197 0.009 0.008 0.006
1198 0.004 0.003 0.003
1199 0.003 0.001 0.002
1200 0.009 0.007 0.006
1201 0.01 0.006 0.007
1202 0.015 0.009 0.008
1203 0.009 0.007 0.007
1204 0.008 0.002 0.002
1205 0.01 0.005 0.007
1206 0.003 0.002 0.002
1207 0.013 0.008 0.009
1208 0.011 0.004 0.005
1209 0.008 0.005 0.005
1210 0.011 0.004 0.005
1211 0.007 0.004 0.005
1212 0.006 0.002 0.002
1213 0.012 0.005 0.007
1214 0.012 0.006 0.01
1215 0.007 0.003 0.004
1216 0.011 0.006 0.007
1217 0.009 0.006 0.006
1218 0.012 0.006 0.006
1219 0.01 0.005 0.007
1220 0.007 0.004 0.006
1221 0.005 0.003 0.004
1222 0.006 0.004 0.005
1223 0.005 0.003 0.004
1224 0.006 0.003 0.004
1225 0.009 0.002 0.004
1226 0.007 0.003 0.005
1227 0.007 0.003 0.005
1228 0.003 0.002 0.003
1229 0.006 0.001 0.002
1230 0.01 0.003 0.004
1231 0.004 0.003 0.004
1232 0.006 0.003 0.005
1233 0.004 0.002 0.002
1234 0.007 0.004 0.004
1235 0.009 0.003 0.006
1236 0.005 0.003 0.004
1237 0.001 0.001 0.001
1238 0.004 0.003 0.003
1239 0.011 0.006 0.006
1240 0.008 0.005 0.005
1241 0.011 0.006 0.007
1242 0.007 0.005 0.006
1243 0.007 0.003 0.003
1244 0.01 0.004 0.007
1245 0.007 0.001 0.002
1246 0.004 0.002 0.003
1247 0.006 0.002 0.003
1248 0.009 0.006 0.007
1249 0.004 0.002 0.003
1250 0.004 0.002 0.002
1251 0.002 0.0 0.001
1252 0.007 0.003 0.003
1253 0.005 0.0 0.002
1254 0.003 0.002 0.002
1255 0.004 0.002 0.002
1256 0.01 0.004 0.007
1257 0.004 0.003 0.003
1258 0.005 0.003 0.003
1259 0.003 0.002 0.001
1260 0.006 0.005 0.005
1261 0.005 0.0 0.001
1262 0.007 0.004 0.005
1263 0.003 0.002 0.003
1264 0.002 0.001 0.002
1265 0.003 0.002 0.002
1266 0.007 0.002 0.006
1267 0.01 0.004 0.005
1268 0.002 0.001 0.001
1269 0.001 0.001 0.001
1270 0.007 0.003 0.004
1271 0.001 0.0 0.0
1272 0.003 0.002 0.003
1273 0.006 0.002 0.004
1274 0.007 0.003 0.004
1275 0.002 0.001 0.001
1276 0.004 0.003 0.004
1277 0.004 0.002 0.002
1278 0.003 0.002 0.002
1279 0.005 0.003 0.005
1280 0.002 0.001 0.001
1281 0.004 0.001 0.002
1282 0.005 0.001 0.002
1283 0.001 0.001 0.001
1284 0.001 0.0 0.0
1285 0.007 0.003 0.005
1286 0.003 0.001 0.003
1287 0.002 0.001 0.001
1288 0.004 0.002 0.003
1289 0.003 0.002 0.003
1290 0.006 0.003 0.004
1291 0.007 0.003 0.004
1292 0.003 0.002 0.003
1293 0.004 0.001 0.003
1294 0.005 0.002 0.003
1295 0.003 0.003 0.003
1296 0.004 0.002 0.003
1297 0.006 0.002 0.004
1298 0.005 0.002 0.002
1299 0.004 0.003 0.002
1300 0.004 0.001 0.002
Resource Access 
Parallel 
RSF 




minT: 50  maxT: 60
Work Load
CS Length 
11 1.0 1.0 1.0
12 1.0 1.0 1.0
13 1.0 1.0 1.0
14 1.0 1.0 1.0
15 1.0 1.0 1.0
16 1.0 1.0 1.0
17 1.0 1.0 1.0
18 1.0 1.0 1.0
19 1.0 1.0 1.0
110 1.0 1.0 1.0
111 1.0 1.0 1.0
112 1.0 1.0 1.0
113 1.0 1.0 1.0
114 1.0 1.0 1.0
115 1.0 1.0 1.0
116 1.0 1.0 1.0
117 1.0 1.0 1.0
118 1.0 1.0 1.0
119 1.0 1.0 1.0
120 1.0 1.0 1.0
121 1.0 1.0 1.0
122 1.0 1.0 1.0
123 1.0 1.0 1.0
124 1.0 1.0 1.0
125 1.0 1.0 1.0
126 1.0 1.0 1.0
127 1.0 1.0 1.0
128 1.0 1.0 1.0
129 1.0 1.0 1.0
130 1.0 1.0 1.0
131 1.0 1.0 1.0
132 1.0 1.0 1.0
133 1.0 1.0 1.0
134 1.0 1.0 1.0
135 1.0 1.0 1.0
136 1.0 1.0 1.0
137 1.0 1.0 1.0
138 1.0 1.0 1.0
139 1.0 1.0 1.0
140 1.0 1.0 0.999
141 1.0 1.0 1.0
142 1.0 1.0 1.0
143 1.0 1.0 1.0
144 1.0 1.0 1.0
145 1.0 1.0 0.998
146 1.0 1.0 0.997
147 1.0 1.0 0.995
148 1.0 1.0 0.994
149 1.0 1.0 0.995
150 1.0 1.0 0.992
151 1.0 1.0 0.983
152 1.0 1.0 0.987
153 1.0 1.0 0.976
154 1.0 0.999 0.973
155 1.0 1.0 0.965
156 1.0 0.999 0.96
157 0.999 0.999 0.963
158 0.998 0.998 0.934
159 1.0 0.999 0.931
160 1.0 0.994 0.925
161 1.0 0.997 0.929
162 0.998 0.992 0.89
163 0.995 0.991 0.901
164 0.996 0.987 0.877
165 0.995 0.983 0.849
166 0.995 0.984 0.854
167 0.986 0.965 0.832
168 0.984 0.966 0.82
169 0.983 0.956 0.791
170 0.981 0.946 0.787
171 0.972 0.934 0.743
172 0.973 0.93 0.721
173 0.964 0.922 0.75
174 0.941 0.884 0.703
175 0.933 0.882 0.689
176 0.928 0.887 0.679
177 0.917 0.842 0.624
178 0.916 0.835 0.617
179 0.892 0.816 0.601
180 0.872 0.792 0.584
181 0.861 0.781 0.529
182 0.829 0.745 0.56
183 0.832 0.734 0.531
184 0.809 0.713 0.503
185 0.788 0.69 0.482
186 0.776 0.67 0.463
187 0.768 0.658 0.461
188 0.765 0.645 0.438
189 0.726 0.62 0.415
190 0.678 0.574 0.4
191 0.67 0.574 0.388
192 0.653 0.547 0.359
193 0.61 0.502 0.34
194 0.615 0.494 0.336
195 0.616 0.489 0.337
196 0.61 0.507 0.34
197 0.586 0.472 0.316
198 0.556 0.439 0.306
199 0.502 0.388 0.259
1100 0.526 0.41 0.286
1101 0.495 0.389 0.266
1102 0.46 0.346 0.22
1103 0.487 0.357 0.252
1104 0.456 0.343 0.235
1105 0.433 0.323 0.221
1106 0.42 0.322 0.222
1107 0.387 0.278 0.182
1108 0.392 0.275 0.189
1109 0.348 0.253 0.179
1110 0.375 0.287 0.204
1111 0.322 0.232 0.153
1112 0.372 0.267 0.19
1113 0.327 0.242 0.177
1114 0.341 0.259 0.176
1115 0.3 0.22 0.158
1116 0.287 0.202 0.135
1117 0.266 0.188 0.142
1118 0.261 0.177 0.127
1119 0.272 0.184 0.134
1120 0.256 0.172 0.133
1121 0.227 0.165 0.116
1122 0.222 0.147 0.1
1123 0.23 0.161 0.126
1124 0.213 0.143 0.101
1125 0.229 0.154 0.113
1126 0.211 0.144 0.093
1127 0.195 0.129 0.105
1128 0.178 0.118 0.086
1129 0.188 0.123 0.1
1130 0.178 0.114 0.079
1131 0.161 0.115 0.095
1132 0.161 0.111 0.085
1133 0.151 0.103 0.08
1134 0.168 0.123 0.101
1135 0.145 0.102 0.075
1136 0.136 0.092 0.08
1137 0.126 0.086 0.067
1138 0.111 0.079 0.067
1139 0.135 0.088 0.07
1140 0.135 0.085 0.069
1141 0.113 0.072 0.063
1142 0.125 0.083 0.068
1143 0.103 0.074 0.06
1144 0.092 0.056 0.043
1145 0.089 0.056 0.05
1146 0.084 0.049 0.043
1147 0.106 0.064 0.055
1148 0.104 0.064 0.053
1149 0.088 0.063 0.05
1150 0.088 0.059 0.05
1151 0.089 0.06 0.047
1152 0.09 0.061 0.054
1153 0.075 0.044 0.038
1154 0.084 0.059 0.048
1155 0.08 0.045 0.038
1156 0.079 0.039 0.032
1157 0.074 0.048 0.042
1158 0.072 0.055 0.047
1159 0.069 0.047 0.039
1160 0.054 0.035 0.033
1161 0.059 0.04 0.038
1162 0.059 0.042 0.038
1163 0.054 0.028 0.023
1164 0.055 0.037 0.035
1165 0.061 0.04 0.039
1166 0.061 0.045 0.043
1167 0.051 0.029 0.026
1168 0.046 0.025 0.022
1169 0.057 0.039 0.031
1170 0.051 0.031 0.028
1171 0.051 0.034 0.027
1172 0.028 0.019 0.014
1173 0.044 0.025 0.023
1174 0.037 0.029 0.026
1175 0.045 0.026 0.026
1176 0.035 0.022 0.022
1177 0.036 0.024 0.023
1178 0.037 0.024 0.023
1179 0.054 0.032 0.033
1180 0.034 0.016 0.016
1181 0.037 0.024 0.024
1182 0.033 0.019 0.016
1183 0.031 0.019 0.019
1184 0.038 0.022 0.024
1185 0.024 0.014 0.012
1186 0.026 0.013 0.012
1187 0.035 0.022 0.023
1188 0.034 0.021 0.023
1189 0.039 0.022 0.022
1190 0.034 0.02 0.021
1191 0.03 0.019 0.022
1192 0.021 0.014 0.012
1193 0.021 0.012 0.012
1194 0.017 0.01 0.013
1195 0.028 0.014 0.014
1196 0.012 0.007 0.007
1197 0.028 0.013 0.014
1198 0.027 0.017 0.016
1199 0.023 0.015 0.015
1200 0.013 0.007 0.007
1201 0.025 0.016 0.015
1202 0.027 0.017 0.018
1203 0.032 0.019 0.02
1204 0.018 0.013 0.014
1205 0.024 0.015 0.015
1206 0.024 0.018 0.019
1207 0.015 0.009 0.009
1208 0.021 0.012 0.013
1209 0.021 0.01 0.01
1210 0.028 0.012 0.014
1211 0.021 0.013 0.013
1212 0.016 0.009 0.01
1213 0.022 0.016 0.017
1214 0.017 0.009 0.009
1215 0.012 0.005 0.007
1216 0.02 0.012 0.014
1217 0.009 0.006 0.006
1218 0.018 0.007 0.012
1219 0.019 0.012 0.012
1220 0.021 0.011 0.012
1221 0.016 0.01 0.01
1222 0.019 0.013 0.012
1223 0.01 0.005 0.006
1224 0.012 0.006 0.007
1225 0.024 0.018 0.019
1226 0.013 0.01 0.01
1227 0.012 0.007 0.008
1228 0.011 0.006 0.008
1229 0.022 0.016 0.018
1230 0.012 0.006 0.006
1231 0.018 0.014 0.014
1232 0.009 0.007 0.006
1233 0.009 0.004 0.006
1234 0.007 0.004 0.005
1235 0.013 0.005 0.005
1236 0.016 0.009 0.011
1237 0.012 0.008 0.008
1238 0.015 0.013 0.013
1239 0.013 0.008 0.008
1240 0.011 0.007 0.01
1241 0.01 0.007 0.007
1242 0.007 0.005 0.005
1243 0.012 0.006 0.008
1244 0.011 0.004 0.006
1245 0.009 0.006 0.009
1246 0.008 0.003 0.003
1247 0.012 0.006 0.01
1248 0.006 0.004 0.004
1249 0.007 0.004 0.004
1250 0.016 0.011 0.011
1251 0.014 0.009 0.009
1252 0.01 0.006 0.007
1253 0.007 0.004 0.004
1254 0.016 0.01 0.013
1255 0.009 0.005 0.006
1256 0.011 0.006 0.006
1257 0.006 0.003 0.004
1258 0.009 0.006 0.006
1259 0.01 0.002 0.004
1260 0.006 0.002 0.004
1261 0.014 0.01 0.011
1262 0.009 0.003 0.004
1263 0.01 0.006 0.007
1264 0.005 0.001 0.001
1265 0.004 0.002 0.002
1266 0.007 0.006 0.006
1267 0.009 0.004 0.004
1268 0.012 0.006 0.007
1269 0.012 0.008 0.008
1270 0.006 0.004 0.004
1271 0.008 0.005 0.006
1272 0.009 0.002 0.002
1273 0.01 0.005 0.005
1274 0.01 0.006 0.008
1275 0.005 0.003 0.002
1276 0.012 0.008 0.009
1277 0.009 0.005 0.006
1278 0.005 0.004 0.005
1279 0.009 0.005 0.006
1280 0.008 0.003 0.004
1281 0.015 0.009 0.011
1282 0.007 0.002 0.004
1283 0.007 0.004 0.004
1284 0.009 0.006 0.007
1285 0.01 0.007 0.006
1286 0.01 0.003 0.003
1287 0.007 0.003 0.004
1288 0.004 0.002 0.003
1289 0.008 0.004 0.005
1290 0.004 0.003 0.003
1291 0.012 0.006 0.007
1292 0.007 0.004 0.004
1293 0.004 0.002 0.003
1294 0.005 0.003 0.003
1295 0.009 0.005 0.007
1296 0.006 0.0 0.003
1297 0.007 0.003 0.006
1298 0.006 0.004 0.004
1299 0.005 0.001 0.003
1300 0.007 0.004 0.006
Resource Access 
Parallel 
RSF 




minT: 60  maxT: 70
Work Load
CS Length 
11 1.0 1.0 1.0
12 1.0 1.0 1.0
13 1.0 1.0 1.0
14 1.0 1.0 1.0
15 1.0 1.0 1.0
16 1.0 1.0 1.0
17 1.0 1.0 1.0
18 1.0 1.0 1.0
19 1.0 1.0 1.0
110 1.0 1.0 1.0
111 1.0 1.0 1.0
112 1.0 1.0 1.0
113 1.0 1.0 1.0
114 1.0 1.0 1.0
115 1.0 1.0 1.0
116 1.0 1.0 1.0
117 1.0 1.0 1.0
118 1.0 1.0 1.0
119 1.0 1.0 1.0
120 1.0 1.0 1.0
121 1.0 1.0 1.0
122 1.0 1.0 1.0
123 1.0 1.0 1.0
124 1.0 1.0 1.0
125 1.0 1.0 1.0
126 1.0 1.0 1.0
127 1.0 1.0 1.0
128 1.0 1.0 1.0
129 1.0 1.0 1.0
130 1.0 1.0 1.0
131 1.0 1.0 1.0
132 1.0 1.0 1.0
133 1.0 1.0 1.0
134 1.0 1.0 1.0
135 1.0 1.0 1.0
136 1.0 1.0 1.0
137 1.0 1.0 1.0
138 1.0 1.0 1.0
139 1.0 1.0 1.0
140 1.0 1.0 1.0
141 1.0 1.0 1.0
142 1.0 1.0 1.0
143 1.0 1.0 1.0
144 1.0 1.0 1.0
145 1.0 1.0 1.0
146 1.0 1.0 1.0
147 1.0 1.0 0.999
148 1.0 1.0 0.999
149 1.0 1.0 1.0
150 1.0 1.0 1.0
151 1.0 1.0 1.0
152 1.0 1.0 1.0
153 1.0 1.0 1.0
154 1.0 1.0 1.0
155 1.0 1.0 0.997
156 1.0 1.0 0.998
157 1.0 1.0 0.999
158 1.0 1.0 0.996
159 1.0 1.0 0.996
160 1.0 1.0 0.995
161 1.0 1.0 0.995
162 1.0 1.0 0.999
163 1.0 1.0 0.996
164 1.0 1.0 0.991
165 1.0 1.0 0.988
166 1.0 0.999 0.974
167 1.0 1.0 0.99
168 0.999 0.999 0.985
169 0.999 0.999 0.964
170 0.999 0.999 0.97
171 1.0 0.998 0.965
172 0.999 0.999 0.962
173 1.0 0.996 0.953
174 0.997 0.992 0.948
175 0.999 0.995 0.92
176 0.995 0.987 0.922
177 0.997 0.989 0.917
178 0.996 0.984 0.908
179 0.989 0.979 0.901
180 0.989 0.977 0.89
181 0.987 0.971 0.858
182 0.994 0.968 0.848
183 0.98 0.956 0.84
184 0.979 0.955 0.812
185 0.975 0.945 0.82
186 0.979 0.953 0.812
187 0.967 0.922 0.785
188 0.941 0.892 0.766
189 0.953 0.917 0.76
190 0.941 0.888 0.751
